,Location,y,x,N,P,K,pH,temp,climate
57,Chakur,14.328187,75.8580743,85,7,144,8.24,6,1
58,Chalisgaon,14.8759749,76.773405,71,10,149,7.74,13,1
59,Chamorshi,15.4076973,76.5640593,60,13,194,7.67,22,1
60,Chandgad,15.4175871,76.577282,79,13,195,7.33,5,1
61,Chandrapur,15.4255899,76.5614302,99,10,126,7.9,33,1
62,Chandurbazar,15.3523818,76.4642091,99,10,136,5.82,34,1
63,Chandur Railway,14.1625813,75.5923399,126,18,105,6.14,24,1
64,Chandvad,14.1375536,75.6098414,108,7,195,5.65,5,1
65,Chikhaldara,14.1144975,75.619669,98,7,154,5.65,8,1
66,Chikhli,14.0884244,75.5695554,74,9,198,7.66,26,1
67,Chimur,14.0481283,75.5500718,118,25,164,7.72,22,1
68,Chiplun,13.9969298,75.6503451,98,7,179,5.73,33,1
69,Chopda,13.9626547,75.6485724,125,24,199,7.23,25,1
70,Dahanu,13.9694123,75.665685,69,10,155,7.67,28,1
71,Dapoli,13.9448966,75.7207775,92,7,110,8.04,0,1
72,Darwha,14.0876036,75.9551808,99,14,162,7.6,9,1
73,Daryapur,14.0872661,75.9550718,107,13,173,7.74,1,1
74,Daund,14.0931902,75.9547245,115,21,199,7.29,9,1
75,Deglur,14.1081111,75.9469447,75,13,191,7.61,14,1
76,Deola,14.1023099,75.9528765,98,18,154,7.13,30,1
77,Deolgaon Raja,14.0974143,75.9488979,66,18,130,7.95,7,1
78,Deoli,14.0940805,75.9521818,103,18,160,7.51,19,1
79,Deoni,14.094063,75.9568416,107,13,163,7.64,9,1
80,Deori,14.0918579,75.9545862,121,23,199,7.3,20,1
81,Desaiganj (Vadasa),14.0900116,75.9543696,109,19,103,6.8,16,1
82,Devgad,14.0883188,75.9547455,113,18,198,6.26,24,1
83,Dhamangaon Railway,14.4481575,76.0341752,115,33,103,7.46,18,1
84,Dhanora,14.4141181,76.1093116,94,7,169,7.87,21,1
85,Dharangaon,14.4876407,75.9434324,69,10,164,7.88,32,1
86,Dharmabad,14.487557,75.9434733,87,21,176,6.95,28,1
87,Dharni,14.4864767,75.9428524,103,25,194,7.32,38,1
88,Dharur,14.4860716,75.9438515,66,9,168,7.91,24,1
89,Dhule,14.485856,75.9446066,94,25,194,6.57,18,1
90,Digras,14.4857041,75.9445368,113,17,175,6.72,28,1
91,Dindori,14.4856781,75.9443759,91,9,191,7.65,29,1
92,Dodamarg,14.4861417,75.9449217,64,16,124,7.63,7,1
93,Erandol,14.4095818,76.0861856,74,9,169,5.92,11,1
94,Etapalli,14.4090986,76.0863868,74,10,180,7.8,31,1
95,Gadchiroli,14.4087401,76.0864377,98,18,171,7.18,28,1
96,Gadhinglaj,14.2970744,76.0092253,69,9,180,7.71,9,1
97,Gaganbawada,14.2922088,76.0106845,84,9,154,5.4,29,1
98,Gangakhed,14.2884035,76.01474,84,9,169,5.4,31,1
99,Gangapur,14.2867296,76.012208,66,15,195,7.8,15,1
100,Georai,14.4681285,75.8545476,98,10,154,6.33,4,1
101,Ghansawangi,14.4456928,76.0789865,64,17,194,7.57,37,1
102,Ghatanji,14.4601199,76.0989904,95,7,103,8.02,0,1
103,Gondiya,14.3550247,76.0639312,95,10,190,6.34,16,1
104,Gondpipri,14.4193512,75.995316,98,21,177,7.38,26,1
105,Goregaon,14.4189499,75.9954139,84,17,135,6.72,37,1
106,Guhagar,14.4184414,75.9963614,98,10,138,6.45,35,1
107,Hadgaon,14.4169319,75.995471,89,54,138,7.4,18,1
108,Hatkanangle,14.3930352,75.9444581,64,8,180,6.06,4,1
109,Haveli,14.265584,76.0273955,105,17,118,7.32,2,1
110,Himayatnagar,13.9291,75.9838,96,16,103,,9,1
111,Hinganghat,14.2654521,76.0274062,71,9,172,8.24,31,1
112,Hingna,14.1835784,75.9170177,99,15,125,7.34,10,1
113,Hingoli,14.1845743,75.9182227,85,14,103,7.82,26,1
114,Igatpuri,13.9569,75.9376,119,7,198,,22,1
115,Indapur,14.5394878,75.9076229,60,9,165,8.12,3,1
116,Jafrabad,14.4409292,75.9472329,100,15,166,7.42,10,1
117,Jalgaon,14.4547122,75.9391167,71,9,146,8.12,14,1
118,Jalgaon (Jamod),14.4536677,75.9416858,113,17,108,6.68,22,1
119,Jalkot,14.4481275,75.9413042,64,15,179,7.86,1,1
120,Jalna,14.444933,75.9426702,64,13,104,7.74,4,1
121,Jamkhed,14.4214187,75.9242424,103,21,197,6.72,22,1
122,Jamner,14.3526342,76.1471114,51,9,155,8.01,25,1
123,Jaoli,14.3224659,75.9934373,103,17,103,7.34,19,1
124,Jat,13.8779,75.9434,79,6,181,,11,1
125,Jawhar,14.321495,75.9932045,107,19,194,7.44,24,1
126,Jintur,14.3216655,75.9943051,103,41,194,6.49,14,1
127,Jiwati,14.3983297,75.9202116,108,23,184,6.8,18,1
128,Junnar,14.4916421,76.1595788,65,15,185,8.06,15,1
129,Kadegaon,14.1032807,76.5579808,99,17,179,6.88,10,1
130,Kagal,13.9922,75.9608,104,19,161,,0,1
131,Kaij,14.1024847,76.5599066,61,11,198,7.86,15,1
132,Kalamb,14.4766711,75.8595142,103,17,191,7.36,30,1
133,Kalamb,14.4760702,75.8591699,125,19,138,7.09,4,1
134,Kalameshwar,14.4757899,75.8599172,115,19,192,6.67,4,1
135,Kalamnuri,14.5147997,75.4440594,59,10,183,7.68,18,1
136,Kalwan,13.9606,76.0138,74,7,184,,16,1
137,Kalyan,14.5143194,75.4447326,63,16,165,7.81,3,1
138,Kamptee,14.6832392,76.2519837,109,18,103,7.63,21,1
139,Kandhar,14.3866912,75.5805478,106,21,179,6.93,2,1
140,Kankavli,14.3855354,75.5922088,99,19,195,7.24,23,1
141,Kannad,14.4065193,75.5889261,74,14,180,7.5,3,1
142,Karad,14.40552,75.5978326,119,17,184,6.72,0,1
143,Karanja,14.4078566,75.5992891,99,25,184,6.63,10,1
144,Karanja,14.3819228,75.5796337,68,17,103,7.68,22,1
145,Karjat,14.4091137,75.5811476,113,9,146,5.98,34,1
146,Karjat,14.3315243,75.9002245,69,15,160,7.73,21,1
147,Karmala,14.5112293,75.9121035,65,10,175,5.89,24,1
148,Karvir,14.5129103,75.9126145,74,17,194,7.66,32,1
149,Katol,14.5127758,75.9131798,68,13,133,6.43,29,1
150,Kavathemahankal,14.5244122,75.871346,121,35,194,7.58,35,1
151,Kelapur,14.4650286,75.986706,99,10,295,7.64,19,1
152,Khalapur,4.4343148,76.0276134,59,8,91,7.99,8,1
153,Khamgaon,13.7830472,76.0511779,80,9,39,7.36,22,1
154,Khanapur,14.5045043,75.9807325,95,17,171,6.7,6,1
155,Khandala,14.5070184,75.9784329,54,10,149,8,0,1
156,Khatav,14.2509778,76.0508904,110,9,118,8.3,19,1
157,Khed,14.6140745,76.0734318,96,23,150,7.63,18,1
158,Khed,14.4232171,75.859832,103,13,194,7.79,9,1
159,Khuldabad,14.0162324,75.3672154,79,10,104,8.08,13,1
160,Kinwat,14.014998,75.3698404,71,13,155,7.95,5,1
161,Kopargaon,14.0112968,75.379706,56,10,169,7.81,3,1
162,Korchi,14.4720024,75.9199365,76,10,171,7.67,38,1
163,Koregaon,14.3963385,75.8801195,91,15,161,7.65,36,1
164,Korpana,14.398963,75.8804171,79,14,144,7.7,39,1
165,Kudal,14.3318718,75.882638,91,16,195,7.65,34,1
166,Kuhi,14.3556925,76.0631721,103,22,164,7.8,17,1
167,Kurkheda,14.3552119,76.0654373,94,9,198,7.76,8,1
168,Kurla,14.3034686,75.9020197,66,15,149,7.85,13,1
169,Lakhandur,14.303045,75.9026702,59,17,160,7.73,35,1
170,Lakhani,14.3041008,75.9030949,126,57,195,8.13,22,1
171,Lanja,14.304032,75.903543,95,17,181,7.54,18,1
172,Latur,14.3036793,75.9038371,53,13,95,7.97,20,1
173,Loha,14.3326579,76.0373652,115,17,104,6.88,27,1
174,Lohara,14.4869137,75.9424025,126,79,160,7.31,7,1
175,Lonar,14.4896687,75.9417456,94,25,174,7.53,34,1
176,Madha,14.4894108,75.9440358,113,25,194,7.14,6,1
177,Mahabaleshwar,14.4882913,75.9448923,113,17,198,7.57,15,1
178,Mahad,14.4867472,75.9410327,124,23,184,7.33,16,1
179,Mahagaon,14.4892971,75.9430725,69,11,174,7.98,18,1
180,Mahur,14.4887533,75.9445404,91,19,169,6.53,10,1
181,Majalgaon,14.4885972,75.9449908,59,8,125,7.76,28,1
182,Malegaon,14.4877274,75.9444182,59,10,171,8.1,30,1
183,Malegaon,14.3622791,75.8876395,113,19,118,7.49,0,1
184,Malkapur,14.3651296,75.8888379,51,9,99,8.1,31,1
185,Malshiras,14.3111479,75.9682686,65,9,119,4.72,18,1
186,Malwan,14.3116028,75.9697622,121,25,81,7.18,26,1
187,Man,14.1029122,76.0047699,54,7,113,8.87,14,1
188,Mandangad,14.4682295,75.878994,65,58,126,8.15,28,1
189,Mangalvedhe,14.4602439,75.9258697,95,7,194,1.55,24,1
190,Mangaon,14.4660154,75.9341263,71,63,165,7.66,22,1
191,Mangrulpir,14.4587512,75.9275233,85,21,139,7.54,25,1
192,Manora,14.4100066,75.937756,113,25,175,7.34,23,1
193,Mantha,14.4772192,76.1019268,76,10,103,7.96,13,1
194,Manwath,14.476627,76.102274,60,10,154,8.05,25,1
195,Maregaon,14.4773128,76.1021119,55,13,58,8.14,22,1
196,Mauda,14.2655156,76.0279072,109,19,108,6.79,33,1
197,Mawal,14.2624848,76.0305595,100,18,198,6.27,7,1
198,Mehkar,14.2878338,75.9915007,108,17,169,6.83,7,1
199,Mhasla,14.2768115,75.930861,84,16,200,7.76,37,1
200,Miraj,14.2768042,75.9319043,129,23,200,7.36,19,2
201,Mohadi,14.3819335,76.0926497,113,22,200,6.61,15,2
202,Mohol,14.4018175,75.9804947,76,11,113,7.72,33,2
203,Mokhada,14.402054,75.981526,103,10,169,6.67,19,2
204,Morshi,14.4018614,75.9810852,66,9,176,8.2,31,2
205,Motala,14.5114752,75.9494384,113,23,149,7.04,23,2
206,Mudkhed,14.2840487,14.2840487,95,15,191,7.44,27,2
207,Mukhed,14.2846981,75.9756317,118,19,199,6.7,25,2
208,Muktainagar (Edlabad),14.3301119,75.9621723,118,15,195,6.78,7,2
209,Mul,14.2711195,76.0913066,84,10,198,7.99,9,2
210,Mulchera,14.2720903,76.1122954,91,17,194,6.36,3,2
211,Mulshi,14.3660998,75.8895529,51,9,194,8.12,38,2
212,Murbad,14.4759002,75.9789025,98,17,160,7.51,1,2
213,Murtijapur,14.5537733,75.856525,103,13,194,7.55,3,2
214,Murud,14.355805,75.9786988,55,8,198,7.75,19,2
215,Nagar,14.4644243,75.893474,113,17,149,7.32,5,2
216,Nagbhid,14.4364897,75.8930913,51,10,199,7.83,20,2
217,Nagpur (Rural),14.4361839,75.8939283,64,13,171,7.66,0,2
218,Nagpur (Urban),14.3034642,75.8499989,65,25,194,7.62,26,2
219,Naigaon (Khairgaon),14.3068142,75.8533801,84,10,195,7.77,23,2
220,Nanded,14.3104618,75.8503419,94,8,155,6.28,33,2
221,Nandgaon,14.309592,75.8469632,108,23,185,7.44,18,2
222,Nandgaon-Khandeshwar,14.3113946,75.8513278,75,25,198,7.03,19,2
223,Nandura,14.3077703,75.8516472,109,16,185,7.27,35,2
224,Nandurbar,14.3035758,75.852634,113,13,169,6.44,5,2
225,Narkhed,14.1226183,76.0028654,94,8,169,8.14,23,2
226,Nashik,14.1243372,76.0027997,75,9,185,7.99,38,2
227,Nawapur,14.1244696,76.0040328,75,13,194,7.7,0,2
228,Ner,14.1693798,75.9775502,124,8,143,5.61,2,2
229,Nevasa,14.2179321,76.0283617,101,36,165,7.5,36,2
230,Nilanga,14.0833142,75.8578384,73,11,154,7.96,33,2
231,Niphad,14.083309,75.8592412,97,75,144,7.5,37,2
232,Omarga,14.1679513,75.996058,113,21,155,7.01,2,2
233,Osmanabad,14.1661517,76.0023236,75,9,108,7.78,23,2
234,Pachora,14.1714777,75.9987724,84,9,125,5.89,20,2
235,Paithan,14.1755676,76.0044644,70,10,190,7.32,14,2
236,Palam,14.1833067,76.1312915,65,9,180,5.31,27,2
237,Palghar,14.1836414,76.1310601,95,9,185,5.19,22,2
238,Palus,14.1838638,76.1332696,115,14,186,7.32,34,2
239,Pandharpur,14.1830463,76.1332195,99,17,154,6.85,11,2
240,Panhala,14.2503557,75.8832013,69,11,145,8.9,39,2
241,Panvel,14.246212,75.8836931,69,8,193,5.4,11,2
242,Paranda,14.1644967,75.9487628,99,9,157,5.93,22,2
243,Parbhani,14.0086196,75.9220545,85,8,175,4.77,8,2
244,Parli,14.0089917,75.9240335,79,7,159,4.75,14,2
245,Parner,14.0713128,76.0386233,103,17,103,7.05,20,2
246,Parola,14.070488,76.0389194,123,10,125,7.42,34,2
247,Parseoni,14.11194,75.8347556,95,17,150,7.23,14,2
248,Partur,14.1095677,75.8444759,84,23,106,6.99,6,2
249,Patan,14.3090892,75.8495392,61,8,133,8.14,33,2
250,Pathardi,14.3014316,75.8516984,103,21,118,7.35,36,2
251,Pathri,14.2364476,75.9225022,74,9,149,8.13,27,2
252,Patoda,14.2237323,75.9219429,125,21,164,7.42,18,2
253,Patur,14.2273314,75.9289372,121,19,169,7.42,4,2
254,Pauni,14.2185697,75.8107307,95,9,185,5.51,3,2
255,Pen,14.2168935,75.811607,95,9,194,5.51,15,2
256,Peth,14.1667216,76.0411592,73,7,160,4.93,21,2
257,Phaltan,14.1670259,76.0450645,71,10,199,7.86,9,2
258,Phulambri,14.167216,76.0441427,103,20,153,6.93,24,2
259,Poladpur,14.1902135,75.8336167,102,17,144,7.58,36,2
260,Pombhurna,14.2501313,75.8849628,54,8,154,8.03,27,2
261,Pune City,14.214536,75.7597841,113,11,39,7.23,37,2
262,Purandhar,14.2148232,75.7748192,79,7,47,6.86,19,2
263,Purna,14.7025134,76.0419622,74,9,48,8.12,26,2
264,Pusad,14.5927123,75.8866024,107,15,74,7.72,15,2
265,Radhanagari,14.6038088,75.9131356,71,10,40,6.23,11,2
266,Rahta,14.5954905,75.9039565,66,10,103,7.6,31,2
267,Rahuri,14.5378586,76.0854049,69,12,162,7.59,0,2
268,Rajapur,14.5348544,76.1059387,64,9,144,8.07,16,2
269,Rajura,14.5559413,76.0416876,64,9,139,8.04,39,2
270,Ralegaon,14.5592954,76.0555064,64,9,191,8.04,22,2
271,Ramtek,14.6047275,76.0202921,103,29,103,7.25,30,2
272,Ratnagiri,14.5974316,75.8995685,65,10,165,8.12,35,2
273,Raver,14.5990407,76.0808658,65,7,175,7.85,18,2
274,Renapur,14.7570267,76.0570028,83,20,154,7.84,32,2
275,Risod,14.5251112,76.0199313,71,17,154,7.7,37,2
276,Roha,14.5190458,76.0364537,108,23,170,6.65,39,2
277,Sadak-Arjuni,14.5194046,76.0772846,102,49,139,7.53,14,2
278,Sakoli,14.5295712,76.0730997,74,11,195,7.86,27,2
279,Sakri,14.6144664,75.9746008,60,10,171,7.99,29,2
280,Salekasa,14.6156692,75.9783281,69,9,199,8.12,35,2
281,Samudrapur,14.6173941,75.9793049,69,9,161,8.12,21,2
282,Sangameshwar,14.4821408,75.9711671,60,14,155,7.65,39,2
283,Sangamner,14.5470722,75.9840322,91,13,179,6.29,28,2
284,Sangole,14.5376082,75.9655465,98,14,154,6.18,27,2
285,Sangrampur,14.5224506,75.963952,51,17,163,7.17,33,2
286,Satara,14.7332329,75.8946001,115,22,154,6.82,39,2
287,Savner,14.7246937,75.9731622,66,74,138,7.62,8,2
288,Sawali,14.5686512,75.9644006,85,13,149,6.7,19,2
289,Sawantwadi,14.5665393,75.9847083,91,15,194,6.73,35,2
290,Seloo,14.7854706,75.8586898,73,12,160,7.85,7,2
291,Selu,14.7729936,75.867758,74,10,165,8.07,19,2
292,Sengaon,14.6616519,75.8068871,110,31,190,7.1,18,2
293,Shahade,14.6616884,75.8079858,120,21,190,6.88,25,2
294,Shahapur,14.7295949,75.8518196,74,10,114,7.67,22,2
295,Shahuwadi,14.73071,75.8515615,69,10,194,7.66,18,2
296,Shegaon,14.7307456,75.8504587,103,15,113,7.39,15,2
297,Shevgaon,14.7313264,75.8535089,66,7,149,7.19,20,2
298,Shirala,14.8206727,76.0877865,98,19,194,7.6,4,2
299,Shirol,14.5416159,76.486562,95,23,110,7.41,28,2
300,Shirpur,14.5404697,76.4911261,88,11,318,7.72,3,2
301,Shirur,14.5377798,76.4951587,75,15,169,7.54,10,2
302,Shirur Anantpal,14.5437611,76.4967465,98,10,181,7.64,29,2
303,Shirur (Kasar),14.5468997,76.4915133,54,7,103,7.62,37,2
304,Shrigonda,14.5522063,76.4884448,113,15,176,7.04,0,2
305,Shrirampur,14.406,75.7239347,120,21,179,6.51,7,2
306,Shrivardhan,14.4066473,75.7272763,108,9,110,6.02,6,2
307,Sillod,14.4062652,75.7254025,73,17,169,7.32,19,2
308,Sindewahi,14.4063718,75.7249169,113,27,169,6.71,17,2
309,Sindkhede,14.4059683,75.7263941,113,23,179,7.31,16,2
310,Sindkhed Raja,14.4061882,75.7253319,91,7,199,5.98,19,2
311,Sinnar,14.4058857,75.7266247,103,15,196,7.26,22,2
312,Sironcha,14.4047848,75.725298,59,9,194,8.62,32,2
313,Soegaon,14.4055691,75.7242154,63,8,184,8.79,0,2
314,Solapur North,14.4066211,75.7250253,99,8,166,5.92,28,2
315,Solapur South,14.4069586,75.7256161,86,10,140,5.61,9,2
316,Sonpeth,14.4061933,75.7248512,125,21,176,6.42,13,2
317,Sudhagad,14.4064225,75.7265394,115,20,113,7.29,32,2
318,Surgana,14.4065864,75.7254519,91,12,154,7.7,25,2
319,Tala,14.4063435,75.7242608,104,21,175,6.92,16,2
320,Talasari,14.4067249,75.7259012,118,22,181,7.48,33,2
321,Talode,14.4074152,75.7251551,55,11,169,6.99,25,2
322,Tasgaon,14.4071486,75.7255876,69,22,160,6.99,16,2
323,Telhara,14.4056932,75.7249292,91,9,175,5.25,37,2
324,Thane,14.405431,75.727523,121,23,169,6.45,30,2
325,Tiosa,14.4057791,75.7266072,110,17,103,6.91,29,2
326,Tirora,14.3994133,75.8068013,104,25,169,6.92,0,2
327,Trimbakeshwar,14.3980363,75.8069032,60,9,103,8.31,39,2
328,Tuljapur,14.3986319,75.8075415,55,10,155,8.04,22,2
329,Tumsar,14.4320603,75.6874071,109,11,164,6.9,14,2
330,Udgir,14.429233,75.695662,84,6,146,5.51,10,2
331,Ulhasnagar,14.5507722,75.8559349,94,10,94,8.19,37,2
332,Umarkhed,14.5502426,75.8609775,108,13,169,8.02,31,2
333,Umred,14.5494429,75.8603016,99,12,149,8.12,3,2
334,Umri,14.5485466,75.8614035,93,17,149,7.94,34,2
335,Uran,14.6263319,75.8150196,98,10,199,7.44,15,2
336,Vaibhavvadi,14.3684747,75.7763904,75,9,180,7.86,39,2
337,Vaijapur,14.4264122,75.7001155,109,11,159,6.14,31,2
338,Vasai,14.422037,75.7052043,117,10,171,6.49,9,2
339,Vasmath,14.4240751,75.7067516,103,7,180,6.25,15,2
340,Velhe,14.4292086,75.7111221,55,11,160,7.6,27,2
341,Vengurla,14.4313314,75.7100676,79,11,144,7.49,36,2
342,Vikramgad,14.589398,75.862071,66,14,145,7.78,4,2
343,Wada,14.4744565,75.7841751,88,25,150,7.63,15,2
344,Wadwani,14.4753037,75.790151,97,21,185,7.54,31,2
345,Wai,14.4767224,75.7928204,98,15,195,7.69,17,2
346,Walwa,14.4377214,75.8021333,59,9,188,8.49,39,2
347,Wani,14.4391137,75.8129694,79,7,194,5.18,17,2
348,Wardha,14.4475442,75.8718683,74,10,180,7.29,22,2
349,Warora,14.3820946,75.6996149,69,7,189,7.71,36,2
350,Warud,14.4094271,75.6809548,85,17,184,7.11,7,2
351,Washi,14.4059772,75.6899456,118,25,159,7.34,11,2
352,Washim,14.4468883,75.7020503,103,22,179,7.13,7,2
353,Yavatmal,14.4476052,75.7039815,74,10,181,6.76,11,2
354,Yawal,14.4471787,75.7036622,78,14,194,7.93,24,2
355,Yevla,14.4455722,75.7025666,59,10,166,7.78,31,2
356,Zari-Jamani,14.4450168,75.7045401,103,19,180,7.46,26,2
357,Yamage,14.5685117,75.8687229,103,13,125,7.62,17,2
358,Adur,14.5685564,75.8722128,69,15,163,7.92,36,2
359,Amashi,14.4363291,75.8043434,95,19,131,7.47,23,2
360,Ambewadi,14.4358833,75.8141067,96,15,179,7.77,21,2
361,Ardewadi,14.4420942,75.8181436,76,10,149,7.84,39,2
362,Are,14.4463539,75.8242155,69,8,199,8.08,7,2
363,Bachani,14.3878468,75.7327509,91,45,164,7.55,23,2
364,Bahireshwar.,14.3863581,75.7357872,113,10,166,6.35,38,2
365,Balinge,14.3871552,75.7371155,95,15,33,7.43,7,2
366,Bele,14.5709831,76.3041525,111,14,65,6.66,38,2
367,Bhamate,14.4365785,75.8011892,98,19,92,7.96,0,2
368,Bhatanwadi,14.4367551,75.8066072,103,21,103,7.82,36,2
369,Bhuye,14.434773,75.8102716,103,9,190,5.94,37,2
370,Bhuyewadi,14.4365388,75.8117055,83,13,157,7.93,0,2
371,Bololi,14.4411369,75.817027,103,15,174,7.25,33,2
372,Chafodi,14.4490238,75.831632,99,17,185,7.39,29,2
373,Chikhali,14.375781,75.7491016,94,9,180,6.46,16,2
374,CHINCHAWAD,14.4567821,75.8068194,54,13,170,7.93,32,2
375,Chinchawade Tarf Kale,14.4541406,75.8131362,54,8,154,8.37,0,2
376,Chuye,14.4537052,75.8115058,105,17,188,7.77,35,2
377,Daryache Wadgaon,14.4856796,75.7328072,79,15,154,7.68,30,2
378,Dewale,14.5685896,75.8695383,110,64,198,47.49,35,2
379,Dhangarwadi,14.356368,75.7408313,69,8,191,5.12,24,2
380,Dhondewadi,14.3557288,75.7403903,69,10,108,7.79,7,2
381,DINDANERLI,14.6016658,75.8473492,103,28,159,7.56,6,2
382,Donawade,14.6010388,75.8547594,51,11,80,7.94,24,2
383,Donwadi,14.4078373,75.6806437,115,18,103,6.95,27,2
384,Durgulwadi,14.4076035,75.6882578,63,10,180,8.07,6,2
385,Gadegoundwadi,14.4087494,75.6928172,113,17,174,7.04,38,2
386,Ganeshwadi,14.403654,75.6925523,111,13,175,7.63,7,2
387,Garjan,14.4023828,75.691164,79,10,183,7.85,6,2
388,Ghanawade,14.4012124,75.6907594,121,18,176,7.36,16,2
389,Ghungurwadi,14.4127263,75.6937998,54,9,184,8.27,35,2
390,Girgaon,14.4319828,75.6832595,54,7,179,4.95,2,2
391,Gokul Shirgaon,13.9893657,75.6401906,99,15,190,7.38,21,2
392,Haladi,14.4181567,75.6512734,99,12,175,7.46,37,2
393,HALASAWADE,14.3173538,75.7077461,54,7,166,7.35,26,2
394,Hanbarwadi,14.3151326,75.7190646,104,21,166,7.47,39,2
395,Hanmantwadi,14.3089958,75.716668,76,13,174,7.75,23,2
396,Hasur Dumala,14.4250418,75.8184669,127,23,168,7.48,25,2
397,Hirawade Dumala,14.2142481,75.7186582,69,19,154,5.06,34,2
398,Hirawade Khalasa,14.2138217,75.7174029,79,13,194,6.67,38,2
399,Ispurli,13.132467,77.4741302,84,23,194,7.78,0,2
400,Jadhavwadi,13.3930507,77.5804764,69,9,103,5.76,38,3
401,Jaital,13.3936456,77.5818548,103,24,139,7.38,38,3
402,Jatharwadi,13.3957831,77.5824566,98,64,178,6.63,31,3
403,Kalambe Tarf Kale,13.397058,77.5825097,79,7,195,6.9,19,3
404,Kalambe T Thane,13.394678,77.5807678,74,40,169,7.47,38,3
405,Kanchanwadi,14.2955958,75.7990658,74,10,195,7.82,4,3
406,Kandalgaon,13.2839354,76.6558439,54,13,141,7.62,7,3
407,Kandgaon,14.5581063,76.1471405,74,9,110,8.4,29,3
408,Kaneri,14.5586559,76.1494477,95,8,154,7.3,11,3
409,Kaneriwadi,14.5579582,76.1504613,84,9,185,7.34,0,3
410,Karbharwadi,14.5605193,76.1513213,85,9,194,7.51,2,3
