Location,y,x,N,P,K,pH
Hinganghat,y,76.0274062,71,9,172,8.24
Hingna,y,75.9170177,99,15,125,7.34
Hingoli,y,75.9182227,85,14,103,7.82
Igatpuri,y,75.9376,119,7,198,
Indapur,y,75.9076229,60,9,165,8.12
Jafrabad,y,75.9472329,100,15,166,7.42
Jalgaon,y,75.9391167,71,9,146,8.12
Jalgaon (Jamod),y,75.9416858,113,17,108,6.68
Jalkot,y,75.9413042,64,15,179,7.86
Jalna,y,75.9426702,64,13,104,7.74
Jamkhed,y,75.9242424,103,21,197,6.72
Jamner,y,76.1471114,51,9,155,8.01
Jaoli,y,75.9934373,103,17,103,7.34
Jat,y,75.9434,79,6,181,
Jawhar,y,75.9932045,107,19,194,7.44
Jintur,y,75.9943051,103,41,194,6.49
Jiwati,y,75.9202116,108,23,184,6.8
Junnar,y,76.1595788,65,15,185,8.06
Kadegaon,y,76.5579808,99,17,179,6.88
Kagal,y,75.9608,104,19,161,
Kaij,y,76.5599066,61,11,198,7.86
Kalamb,y,75.8595142,103,17,191,7.36
Kalamb,y,75.8591699,125,19,138,7.09
Kalameshwar,y,75.8599172,115,19,192,6.67
Kalamnuri,y,75.4440594,59,10,183,7.68
Kalwan,y,76.0138,74,7,184,
Kalyan,y,75.4447326,63,16,165,7.81
Kamptee,y,76.2519837,109,18,103,7.63
Kandhar,y,75.5805478,106,21,179,6.93
Kankavli,y,75.5922088,99,19,195,7.24
Kannad,y,75.5889261,74,14,180,7.5
Karad,y,75.5978326,119,17,184,6.72
Karanja,y,75.5992891,99,25,184,6.63
Karanja,y,75.5796337,68,17,103,7.68
Karjat,y,75.5811476,113,9,146,5.98
Karjat,y,75.9002245,69,15,160,7.73
Karmala,y,75.9121035,65,10,175,5.89
Karvir,y,75.9126145,74,17,194,7.66
Katol,y,75.9131798,68,13,133,6.43
Kavathemahankal,y,75.871346,121,35,194,7.58
Kelapur,y,75.986706,99,10,295,7.64
Khalapur,y,76.0276134,59,8,91,7.99
Khamgaon,y,76.0511779,80,9,39,7.36
Khanapur,y,75.9807325,95,17,171,6.7
Khandala,y,75.9784329,54,10,149,8
Khatav,y,76.0508904,110,9,118,8.3
Khed,y,76.0734318,96,23,150,7.63
Khed,y,75.859832,103,13,194,7.79
Khuldabad,y,75.3672154,79,10,104,8.08
Kinwat,y,75.3698404,71,13,155,7.95
Kopargaon,y,75.379706,56,10,169,7.81
Korchi,y,75.9199365,76,10,171,7.67
Koregaon,y,75.8801195,91,15,161,7.65
Korpana,y,75.8804171,79,14,144,7.7
Kolhapur,y,75.882638,91,16,195,7.65
Kuhi,y,76.0631721,103,22,164,7.8
Kurkheda,y,76.0654373,94,9,198,7.76
Kurla,y,75.9020197,66,15,149,7.85
Lakhandur,y,75.9026702,59,17,160,7.73
Lakhani,y,75.9030949,126,57,195,8.13
Lanja,y,75.903543,95,17,181,7.54
Latur,y,75.9038371,53,13,95,7.97
Loha,y,76.0373652,115,17,104,6.88
Lohara,y,75.9424025,126,79,160,7.31
Lonar,y,75.9417456,94,25,174,7.53
Madha,y,75.9440358,113,25,194,7.14
Mahabaleshwar,y,75.9448923,113,17,198,7.57
Mahad,y,75.9410327,124,23,184,7.33
Mahagaon,y,75.9430725,69,11,174,7.98
Mahur,y,75.9445404,91,19,169,6.53
Majalgaon,y,75.9449908,59,8,125,7.76
Malegaon,y,75.9444182,59,10,171,8.1
Malegaon,y,75.8876395,113,19,118,7.49
Malkapur,y,75.8888379,51,9,99,8.1
Malshiras,y,75.9682686,65,9,119,4.72
Malwan,y,75.9697622,121,25,81,7.18
Man,y,76.0047699,54,7,113,8.87
Mandangad,y,75.878994,65,58,126,8.15
Mangalvedhe,y,75.9258697,95,7,194,1.55
Mangaon,y,75.9341263,71,63,165,7.66
Mangrulpir,y,75.9275233,85,21,139,7.54
Manora,y,75.937756,113,25,175,7.34
Mantha,y,76.1019268,76,10,103,7.96
Manwath,y,76.102274,60,10,154,8.05
Maregaon,y,76.1021119,55,13,58,8.14
Mauda,y,76.0279072,109,19,108,6.79
Mawal,y,76.0305595,100,18,198,6.27
Mehkar,y,75.9915007,108,17,169,6.83
Mhasla,y,75.930861,84,16,200,7.76
Miraj,y,75.9319043,129,23,200,7.36
Mohadi,y,76.0926497,113,22,200,6.61
Mohol,y,75.9804947,76,11,113,7.72
Mokhada,y,75.981526,103,10,169,6.67
Morshi,y,75.9810852,66,9,176,8.2
Motala,y,75.9494384,113,23,149,7.04
Mudkhed,y,14.2840487,95,15,191,7.44
Mukhed,y,75.9756317,118,19,199,6.7
Muktainagar (Edlabad),y,75.9621723,118,15,195,6.78
Mul,y,76.0913066,84,10,198,7.99
Mulchera,y,76.1122954,91,17,194,6.36
Mulshi,y,75.8895529,51,9,194,8.12
Murbad,y,75.9789025,98,17,160,7.51
Murtijapur,y,75.856525,103,13,194,7.55
Murud,y,75.9786988,55,8,198,7.75
Nagar,y,75.893474,113,17,149,7.32
Nagbhid,y,75.8930913,51,10,199,7.83
Nagpur (Rural),y,75.8939283,64,13,171,7.66
Nagpur (Urban),y,75.8499989,65,25,194,7.62
Naigaon (Khairgaon),y,75.8533801,84,10,195,7.77
Nanded,y,75.8503419,94,8,155,6.28
Nandgaon,y,75.8469632,108,23,185,7.44
Nandgaon-Khandeshwar,y,75.8513278,75,25,198,7.03
Nandura,y,75.8516472,109,16,185,7.27
Nandurbar,y,75.852634,113,13,169,6.44
Narkhed,y,76.0028654,94,8,169,8.14
Nashik,y,76.0027997,75,9,185,7.99
Nawapur,y,76.0040328,75,13,194,7.7
Ner,y,75.9775502,124,8,143,5.61
Nevasa,y,76.0283617,101,36,165,7.5
Nilanga,y,75.8578384,73,11,154,7.96
Niphad,y,75.8592412,97,75,144,7.5
Omarga,y,75.996058,113,21,155,7.01
Osmanabad,y,76.0023236,75,9,108,7.78
Pachora,y,75.9987724,84,9,125,5.89
Paithan,y,76.0044644,70,10,190,7.32
Palam,y,76.1312915,65,9,180,5.31
Palghar,y,76.1310601,95,9,185,5.19
Palus,y,76.1332696,115,14,186,7.32
Pandharpur,y,76.1332195,99,17,154,6.85
Panhala,y,75.8832013,69,11,145,8.9
Panvel,y,75.8836931,69,8,193,5.4
Paranda,y,75.9487628,99,9,157,5.93
Parbhani,y,75.9220545,85,8,175,4.77
Parli,y,75.9240335,79,7,159,4.75
Parner,y,76.0386233,103,17,103,7.05
Parola,y,76.0389194,123,10,125,7.42
Parseoni,y,75.8347556,95,17,150,7.23
Partur,y,75.8444759,84,23,106,6.99
Patan,y,75.8495392,61,8,133,8.14
Pathardi,y,75.8516984,103,21,118,7.35
Pathri,y,75.9225022,74,9,149,8.13
Patoda,y,75.9219429,125,21,164,7.42
Patur,y,75.9289372,121,19,169,7.42
Pauni,y,75.8107307,95,9,185,5.51
Pen,y,75.811607,95,9,194,5.51
Peth,y,76.0411592,73,7,160,4.93
Phaltan,y,76.0450645,71,10,199,7.86
Phulambri,y,76.0441427,103,20,153,6.93
Poladpur,y,75.8336167,102,17,144,7.58
Pombhurna,y,75.8849628,54,8,154,8.03
Pune City,y,75.7597841,113,11,39,7.23
Purandhar,y,75.7748192,79,7,47,6.86
Purna,y,76.0419622,74,9,48,8.12
Pusad,y,75.8866024,107,15,74,7.72
Radhanagari,y,75.9131356,71,10,40,6.23
Rahta,y,75.9039565,66,10,103,7.6
Rahuri,y,76.0854049,69,12,162,7.59
Rajapur,y,76.1059387,64,9,144,8.07
Rajura,y,76.0416876,64,9,139,8.04
Ralegaon,y,76.0555064,64,9,191,8.04
Ramtek,y,76.0202921,103,29,103,7.25
Ratnagiri,y,75.8995685,65,10,165,8.12
Raver,y,76.0808658,65,7,175,7.85
Renapur,y,76.0570028,83,20,154,7.84
Risod,y,76.0199313,71,17,154,7.7
Roha,y,76.0364537,108,23,170,6.65
Sadak-Arjuni,y,76.0772846,102,49,139,7.53
Sakoli,y,76.0730997,74,11,195,7.86
Sakri,y,75.9746008,60,10,171,7.99
Salekasa,y,75.9783281,69,9,199,8.12
Samudrapur,y,75.9793049,69,9,161,8.12
Sangameshwar,y,75.9711671,60,14,155,7.65
Sangamner,y,75.9840322,91,13,179,6.29
Sangole,y,75.9655465,98,14,154,6.18
Sangrampur,y,75.963952,51,17,163,7.17
Satara,y,75.8946001,115,22,154,6.82
Savner,y,75.9731622,66,74,138,7.62
Sawali,y,75.9644006,85,13,149,6.7
Sawantwadi,y,75.9847083,91,15,194,6.73
Seloo,y,75.8586898,73,12,160,7.85
Selu,y,75.867758,74,10,165,8.07
Sengaon,y,75.8068871,110,31,190,7.1
Shahade,y,75.8079858,120,21,190,6.88
Shahapur,y,75.8518196,74,10,114,7.67
Shahuwadi,y,75.8515615,69,10,194,7.66
Shegaon,y,75.8504587,103,15,113,7.39
Shevgaon,y,75.8535089,66,7,149,7.19
Shirala,y,76.0877865,98,19,194,7.6
Shirol,y,76.486562,95,23,110,7.41
Shirpur,y,76.4911261,88,11,318,7.72
Shirur,y,76.4951587,75,15,169,7.54
Shirur Anantpal,y,76.4967465,98,10,181,7.64
Shirur (Kasar),y,76.4915133,54,7,103,7.62
Shrigonda,y,76.4884448,113,15,176,7.04
Shrirampur,y,75.7239347,120,21,179,6.51
Shrivardhan,y,75.7272763,108,9,110,6.02
Sillod,y,75.7254025,73,17,169,7.32
Sindewahi,y,75.7249169,113,27,169,6.71
Sindkhede,y,75.7263941,113,23,179,7.31
Sindkhed Raja,y,75.7253319,91,7,199,5.98
Sinnar,y,75.7266247,103,15,196,7.26
Sironcha,y,75.725298,59,9,194,8.62
Soegaon,y,75.7242154,63,8,184,8.79
Solapur North,y,75.7250253,99,8,166,5.92
Solapur South,y,75.7256161,86,10,140,5.61
Sonpeth,y,75.7248512,125,21,176,6.42
Sudhagad,y,75.7265394,115,20,113,7.29
Surgana,y,75.7254519,91,12,154,7.7
Tala,y,75.7242608,104,21,175,6.92
Talasari,y,75.7259012,118,22,181,7.48
Talode,y,75.7251551,55,11,169,6.99
Tasgaon,y,75.7255876,69,22,160,6.99
Telhara,y,75.7249292,91,9,175,5.25
Thane,y,75.727523,121,23,169,6.45
Tiosa,y,75.7266072,110,17,103,6.91
Tirora,y,75.8068013,104,25,169,6.92
Trimbakeshwar,y,75.8069032,60,9,103,8.31
Tuljapur,y,75.8075415,55,10,155,8.04
Tumsar,y,75.6874071,109,11,164,6.9
Udgir,y,75.695662,84,6,146,5.51
Ulhasnagar,y,75.8559349,94,10,94,8.19
Umarkhed,y,75.8609775,108,13,169,8.02
Umred,y,75.8603016,99,12,149,8.12
Umri,y,75.8614035,93,17,149,7.94
Uran,y,75.8150196,98,10,199,7.44
Vaibhavvadi,y,75.7763904,75,9,180,7.86
Vaijapur,y,75.7001155,109,11,159,6.14
Vasai,y,75.7052043,117,10,171,6.49
Vasmath,y,75.7067516,103,7,180,6.25
Velhe,y,75.7111221,55,11,160,7.6
Vengurla,y,75.7100676,79,11,144,7.49
Vikramgad,y,75.862071,66,14,145,7.78
Wada,y,75.7841751,88,25,150,7.63
Wadwani,y,75.790151,97,21,185,7.54
Wai,y,75.7928204,98,15,195,7.69
Walwa,y,75.8021333,59,9,188,8.49
Wani,y,75.8129694,79,7,194,5.18
Wardha,y,75.8718683,74,10,180,7.29
Warora,y,75.6996149,69,7,189,7.71
Warud,y,75.6809548,85,17,184,7.11
Washi,y,75.6899456,118,25,159,7.34
Washim,y,75.7020503,103,22,179,7.13
Yavatmal,y,75.7039815,74,10,181,6.76
Yawal,y,75.7036622,78,14,194,7.93
Yevla,y,75.7025666,59,10,166,7.78
Zari-Jamani,y,75.7045401,103,19,180,7.46
Yamage,y,75.8687229,103,13,125,7.62
Adur,y,75.8722128,69,15,163,7.92
Amashi,y,75.8043434,95,19,131,7.47
Ambewadi,y,75.8141067,96,15,179,7.77
Ardewadi,y,75.8181436,76,10,149,7.84
Are,y,75.8242155,69,8,199,8.08
Bachani,y,75.7327509,91,45,164,7.55
Bahireshwar.,y,75.7357872,113,10,166,6.35
Balinge,y,75.7371155,95,15,33,7.43
Bele,y,76.3041525,111,14,65,6.66
Bhamate,y,75.8011892,98,19,92,7.96
Bhatanwadi,y,75.8066072,103,21,103,7.82
Bhuye,y,75.8102716,103,9,190,5.94
Bhuyewadi,y,75.8117055,83,13,157,7.93
Bololi,y,75.817027,103,15,174,7.25
Chafodi,y,75.831632,99,17,185,7.39
Chikhali,y,75.7491016,94,9,180,6.46
CHINCHAWAD,y,75.8068194,54,13,170,7.93
Chinchawade Tarf Kale,y,75.8131362,54,8,154,8.37
Chuye,y,75.8115058,105,17,188,7.77
Daryache Wadgaon,y,75.7328072,79,15,154,7.68
Dewale,y,75.8695383,110,64,198,47.49
Dhangarwadi,y,75.7408313,69,8,191,5.12
Dhondewadi,y,75.7403903,69,10,108,7.79
DINDANERLI,y,75.8473492,103,28,159,7.56
Donawade,y,75.8547594,51,11,80,7.94
Donwadi,y,75.6806437,115,18,103,6.95
Durgulwadi,y,75.6882578,63,10,180,8.07
Gadegoundwadi,y,75.6928172,113,17,174,7.04
Ganeshwadi,y,75.6925523,111,13,175,7.63
Garjan,y,75.691164,79,10,183,7.85
Ghanawade,y,75.6907594,121,18,176,7.36
Ghungurwadi,y,75.6937998,54,9,184,8.27
Girgaon,y,75.6832595,54,7,179,4.95
Gokul Shirgaon,y,75.6401906,99,15,190,7.38
Haladi,y,75.6512734,99,12,175,7.46
HALASAWADE,y,75.7077461,54,7,166,7.35
Hanbarwadi,y,75.7190646,104,21,166,7.47
Hanmantwadi,y,75.716668,76,13,174,7.75
Hasur Dumala,y,75.8184669,127,23,168,7.48
Hirawade Dumala,y,75.7186582,69,19,154,5.06
Hirawade Khalasa,y,75.7174029,79,13,194,6.67
Ispurli,y,77.4741302,84,23,194,7.78
Jadhavwadi,y,77.5804764,69,9,103,5.76
Jaital,y,77.5818548,103,24,139,7.38
Jatharwadi,y,77.5824566,98,64,178,6.63
Kalambe Tarf Kale,y,77.5825097,79,7,195,6.9
Kalambe T Thane,y,77.5807678,74,40,169,7.47
Kanchanwadi,y,75.7990658,74,10,195,7.82
Kandalgaon,y,76.6558439,54,13,141,7.62
Kandgaon,y,76.1471405,74,9,110,8.4
Kaneri,y,76.1494477,95,8,154,7.3
Kaneriwadi,y,76.1504613,84,9,185,7.34
Karbharwadi,y,76.1513213,85,9,194,7.51
Kasaba Arale,y,76.1360854,103,19,174,6.46
Kasaba Bavada,y,76.1387843,111,23,166,6.95
Kasaba Beed,y,76.2468473,51,11,184,7.99
Kasaba Karvir,y,76.4431639,54,7,159,8.62
Kavane,y,76.4477665,103,22,176,7.62
Kekatwadi,y,76.4512353,86,34,165,6.64
Kerali,y,76.3350428,109,13,185,7.03
Kerli,y,75.9671376,110,11,102,6.63
Khatangale,y,76.0798,124,28,165,6.77
Khebavade,y,75.8846,128,25,181,7.46
Khupire,y,75.9964,75,7,103,6.78
Koge,y,76.0218,118,17,199,6.36
Kogil Bk.,y,75.8803,63,9,149,8.04
KOGIL KHURD,y,76.0784,102,13,166,6.8
Koparde,y,75.9724,74,10,184,7.65
Kothali,y,75.9721,83,14,169,7.61
Kuditre,y,75.9144,123,24,188,6.59
Kurdu,y,75.8541,69,8,104,7.74
Kurukali,y,76.1284,65,10,166,8.02
Madale,y,75.9652,75,10,194,8.23
Mahe,y,76.0464,63,33,65,6.81
Mandare,y,75.8657,71,10,54,7.61
Manjarwadi,y,75.6855,115,14,32,6.65
Mhalasvade,y,76.0653,63,9,211,7.85
Mhalunge,y,76.0087,58,5,320,8.15
Mharul,y,76.0892,62,9,75,7.96
Morewadi,y,75.8156,98,10,68,7.01
MUDASHINGI,y,76.0914,65,14,81,7.87
Nagadewadi,y,75.7288,108,9,176,7.54
Nagaon,y,75.9329,125,59,49,6.78
Nandgaon,y,76.0987,63,10,58,7.91
Nandwal,y,76.0697,97,9,49,6.17
Nerli,y,76.0385,124,24,95,7.23
Nigave Dumala,y,76.0385,68,8,102,8.17
Nigave Khalsa,y,75.9536,102,10,60,7.69
Nitawade,y,75.9275,94,8,60,7.7
Pachgaon,y,76.111,125,9,65,5.63
Padali Bk.,y,76.0385,97,9,50,8.1
Padali Kh.,y,75.893,93,14,62,7.35
Padvalwadi,y,76.0385,105,13,109,7.14
Parite,y,75.8156,94,10,125,7.13
Pasarde,y,76.0878,98,9,195,5.68
Patekarwadi,y,75.8541,102,17,124,7.09
RAJAPUTWADI,y,76.0755,97,21,127,7.37
Sabalewadi,y,76.0218,96,11,118,7.41
Sadale,y,75.8592,85,10,130,5.53
Sadoli Dumala,y,76.0653,86,8,131,5.92
Sadoli Khalsa,y,76.0805,87,17,136,6.28
SANGAWADEWADI,y,76.1016,68,8,119,5.57
Sangrul,y,76.0646,79,15,117,7.89
Sangwade,y,75.9964,53,9,118,8.09
Sarnobatwadi,y,76.1186,100,21,123,7.1
Savarde Dumala,y,76.029,70,9,126,5.31
Savarwadi,y,76.0087,103,17,124,7.44
Shelakewadi,y,75.9082,68,9,129,7.85
Shindewadi,y,75.987,60,10,118,7.79
Shinganapur,y,76.0479,126,17,111,6.48
Shipekarwadi,y,75.9449,107,13,128,7.66
Shiroli Dumala,y,76.0697,54,7,125,8.02
Shiye,y,76.0718,108,20,111,7.13
Sonali,y,76.1472,124,24,17,6.28
Tamgaon,y,76.1472,103,20,17,7.73
Tembalaiwadi,y,75.992,80,8,19,5.37
Teraswadi,y,75.8657,83,14,113,7.4
Uchgaon,y,76.0798,85,15,110,7.41
Ujalaiwadi,y,75.8541,103,14,114,7.39
Upawade,y,75.923,121,10,124,7.36
VADAKSHIVALE,y,76.0609,111,25,18,6.39
VADANAGE,y,76.0646,69,10,110,7.53
Vakare,y,76.0015,103,20,110,6
VARANAGE,y,75.9133,91,9,133,7.78
VASAGADE,y,75.836,108,17,110,6.94
Vikaswadi,y,76.0174,113,16,114,7.03
Waddwadi,y,76.111,94,10,19,7.83
WADIPEER,y,75.923,94,22,110,7.95
Waghobachiwadi,y,76.1284,102,25,15,7.52
Walivade,y,75.8607,84,7,19,5.25
Washi,y,75.8861,94,13,110,7.4
Yevati,y,75.8954824,54,9,114,8.1
Alabad,y,75.911834,81,9,19,5.87
Anur,y,76.0063787,118,23,159,7.5
Arjuni,y,75.8687925,121,35,110,7.58
Arjunwada,y,76.0628503,103,15,19,7.42
Avachitwadi,y,76.0278744,69,11,124,7.76
Bachani,y,75.9756625,59,9,18,7.39
Baleghol,y,76.0501045,83,17,110,7.5
Balikre,y,76.1422868,125,27,18,7.04
Bamani,y,75.8778209,91,15,19,7.65
Banage,y,76.0628503,99,17,19,7.78
Bastavade,y,75.9019419,95,13,114,7.46
Belawale Bk.,y,75.9652015,59,10,113,8.02
Belawale Kh.,y,75.9065506,90,27,110,6.36
Belewadi Kalamma,y,76.0568046,71,14,19,7.52
Belewadi Masa,y,75.918789,71,10,117,7.67
Benikre,y,75.8700015,111,21,121,7.98
Bhadagaon,y,75.9168761,98,17,111,6.59
Bidri,y,75.8045242,59,8,110,4.68
Bolavi,y,75.9311579,64,13,18,8.01
Bolaviwadi,y,75.8557802,71,10,117,7.81
Boravade,y,75.9840846,74,9,18,8.01
Chaundal,y,75.8714962,126,43,115,5.42
Chikhali,y,75.5285688,109,17,19,7.61
Chimagaon,y,75.8846808,96,16,17,6.56
Daulatwadi,y,75.986013,80,13,121,7.54
Ekondi,y,75.8957004,103,5,19,5.62
Galgale,y,75.8784031,119,7,117,5.78
Gorambe,y,75.6509221,95,6,19,4.78
Haladi,y,75.8644466,69,10,110,7.85
Haldavade,y,76.0033321,76,12,117,7.56
Hamidwada,y,75.9293353,61,9,113,8.18
Hasur Bk.,y,75.9039237,95,7,17,5.69
Hasur Kh.,y,75.9915601,95,10,120,6.08
Jainyal,y,75.938996,56,7,124,4.8
Kagal,y,75.74041,121,25,120,7.5
Kapashi,y,75.7215168,79,6,18,5.7
Karanjivane,y,75.7408561,69,10,114,7.59
Kardyal,y,76.0983802,74,19,115,6.22
Karnoor,y,75.8425662,104,23,114,7.42
Kasaba Sangaon,y,75.8556854,104,19,110,7.5
Kasari,y,75.7375302,55,8,125,8.19
Kaulage,y,75.9675596,105,17,110,6.75
Kembali,y,75.9417272,69,7,120,5.51
Kenavade,y,75.911375,66,9,19,8.09
Khadakewada,y,75.8463287,74,7,117,6.68
Kurni,y,75.764025,99,8,116,7.81
Kurukali,y,75.9358213,87,14,110,7.74
Lingnoor Kapshi,y,75.7536371,83,21,122,7.72
Lingnur Dumala,y,76.0590847,99,21,125,6.75
Madyal,y,76.0137946,103,20,17,7.27
Malage Bk.,y,75.839222,113,17,113,6.73
Malage Kh.,y,75.9545052,65,13,19,7.64
Mangnoor,y,75.9436584,60,14,19,7.65
Mauje Sangaon,y,75.8903224,68,10,19,7.65
Metage,y,75.8736073,125,21,123,6.59
Mhakave,y,75.7920813,61,9,135,7.5
Mugali,y,76.0198949,104,25,133,7.32
Muragud,y,75.6219489,54,9,115,8.35
Nandyal,y,75.9697075,89,13,111,7.72
Nidhori,y,76.4877587,89,14,19,7.45
Pharakatewadi,y,75.8055728,125,9,117,6.08
Pimpalgaon Bk.,y,75.7240659,121,25,117,6.78
Pimpalgaon Kh.,y,75.8150169,109,33,111,7.96
Pirachiwadi,y,75.7728445,66,10,127,7.87
Randivewadi,y,75.5101276,74,9,115,8.21
Sake,y,75.7853768,90,9,19,8.26
Savarde Bk.,y,75.7076615,120,15,117,7.19
Savarde Kh.,y,75.7277611,114,21,113,7.23
Shankarwadi,y,75.698778,64,15,110,7.83
Shendur,y,75.6122063,73,10,127,6.85
Shindewadi,y,75.7018894,104,21,114,7.55
Siddhanerli,y,75.7674051,84,14,110,7.41
Sonage,y,75.7342476,79,15,121,7.69
Sonali,y,75.6987264,95,21,117,7.5
Sulkud,y,75.7321662,69,13,18,7.68
Surupali,y,75.7170274,109,6,113,5.67
Tamanakwada,y,75.708155,96,25,113,7.17
Thanewadi,y,75.7964372,94,13,110,6.7
Undarwadi,y,76.1477369,66,9,19,8.15
VADGAON,y,76.1803588,65,13,133,7.79
Valave Kh.,y,76.1501937,76,9,19,8.03
Vandoor,y,76.1697438,115,9,143,6.38
Vhanali,y,76.3183469,64,9,117,8.04
Vhannur,y,76.3062188,82,24,116,7.39
Panhala,y,76.1378717,97,15,113,7.72
